,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
0,22545.0,-37.740457,144.963963,3 McKay Street,COBURG,5040000.0,house,2012.0,3.0,1.0,1.0,SC_030,1512,19965,217,28.0,0,hospital_084,1595,S_172,174
1,33801.0,-37.709141,145.01771,135 Rathcown Road,RESERVOIR,9472000.0,house,2015.0,3.0,1.0,1.0,SC_047,3457,20009,735,33.0,0,hospital_139,1968,S_225,2006
2,54955.0,-37.838392,145.068849,12 Finsbury Way,CAMBERWELL,24720000.0,house,2016.0,4.0,2.0,2.0,SC_099,1830,19851,324,30.0,0,hospital_168,1485,S_160,422
3,5670.0,-37.785273,144.847689,26 Treloar Crescent,BRAYBROOK,4320000.0,house,2013.0,3.0,1.0,0.0,SC_102,1285,20021,1353,26.0,0,hospital_174,1579,S_080,1346
4,73577.0,-37.844441,145.290829,35 Landscape Drive,BORONIA,5550000.0,house,2014.0,4.0,2.0,2.0,SC_022,5095,19869,1870,53.0,0,hospital_049,2143,S_024,1996
5,39296.0,-37.682414,145.058727,1 Merryn Close,BUNDOORA,4640000.0,house,2015.0,3.0,2.0,0.0,SC_062,4156,45795,3774,46.0,0,hospital_041,1075,S_155,1845
6,83254.0,-37.878467,145.253577,6 Peppermint Grove,KNOXFIELD,8016000.0,house,2014.0,4.0,3.0,2.0,SC_049,5119,19869,3369,53.0,0,hospital_002,2864,S_027,2930
7,13074.0,-37.69631,144.75792,4 Benjamin Court,SYDENHAM,5320000.0,house,2010.0,3.0,2.0,2.0,SC_048,4328,20000,1529,39.0,0,hospital_057,8710,S_163,567
8,69699.0,-37.87235,145.098197,2 Wippa Court,ASHWOOD,11696000.0,house,2014.0,2.0,1.0,1.0,SC_042,809,19839,700,26.0,0,hospital_098,1493,S_112,765
9,37722.0,-37.649037,145.055757,7 Primrose Place,EPPING,3780000.0,house,2011.0,2.0,1.0,1.0,SC_062,2638,45795,994,46.0,0,hospital_053,3472,S_096,1647
10,53269.0,-37.812258,144.993699,41 Shelley Street,RICHMOND,13230000.0,house,2016.0,3.0,2.0,2.0,SC_068,1924,19977,232,8.0,0,hospital_172,524,S_076,339
11,18027.0,-37.682801,144.926207,108 Kitchener Street,BROADMEADOWS,5920000.0,house,2011.0,3.0,1.0,2.0,SC_072,3584,20030,582,37.0,0,hospital_104,3610,S_153,660
12,43190.0,-37.72635,145.105581,5 Moola Close,YALLAMBIE,5556000.0,house,2011.0,3.0,2.0,2.0,SC_009,4537,19986,1866,40.0,0,hospital_075,2362,S_020,2459
13,13238.0,-37.70856,144.770338,5 Shannon Way,SYDENHAM,4730000.0,house,2012.0,4.0,2.0,2.0,SC_048,3718,20000,894,39.0,0,hospital_057,6967,S_094,869
14,19810.0,-37.67026138,144.8934174,67 Alanbrae Terrace,ATTWOOD,6799000.0,house,2008.0,4.0,2.0,2.0,SC_059,2133,20030,2712,37.0,0,hospital_104,3226,S_153,2636
15,21796.0,-37.743193,144.956838,11 Alice Street,COBURG,13379000.0,house,2016.0,3.0,1.0,1.0,SC_030,1338,19965,580,28.0,0,hospital_084,1221,S_172,758
16,82414.0,-37.991402,145.237414,8 Bottlebrush Drive,DOVETON,3720000.0,house,2013.0,3.0,1.0,1.0,SC_077,1808,19888,2434,54.0,0,hospital_119,1763,S_184,1892
17,96302.0,-37.91389465,145.0340881,9 Fitzroy Street,MCKINNON,6580000.0,house,2009.0,3.0,1.0,3.0,SC_046,2875,19939,469,39.0,0,hospital_126,1964,S_107,943
18,53968.0,-37.82881927,145.0392914,1 Violet Grove,HAWTHORN,17640000.0,house,2009.0,3.0,2.0,1.0,SC_083,985,19904,856,21.0,0,hospital_127,589,S_208,1042
19,16215.0,-37.702519,144.942395,1/31 Larlac Street,HADFIELD,7680000.0,house,2016.0,3.0,1.0,2.0,SC_030,3396,19961,1466,35.0,0,hospital_139,5180,S_004,596
20,20923.0,-37.759845,144.95759,271 Albion Street,BRUNSWICK,9450000.0,house,2011.0,4.0,1.0,2.0,SC_030,3124,19967,314,23.0,0,hospital_011,588,S_074,1129
21,42442.0,-37.749682,145.080591,6 Gloucester Drive,HEIDELBERG,14880000.0,house,2015.0,3.0,2.0,2.0,SC_017,1259,19936,1480,28.0,0,hospital_066,1768,S_100,1503
22,74294.0,-37.88795853,145.0335999,224 Kambrook Road,CAULFIELD,8034000.0,house,2008.0,3.0,2.0,1.0,SC_023,1542,19942,782,33.0,0,hospital_081,1641,S_166,757
23,53445.0,-37.828459,145.011879,52 Parkville Street,BURNLEY,13390000.0,house,2015.0,3.0,2.0,2.0,SC_038,1385,19906,393,13.0,0,hospital_122,1188,S_102,1361
24,32550.0,-37.73155,145.00169,3 Parker Street,PRESTON,7722000.0,house,2016.0,3.0,1.0,3.0,SC_103,895,20011,363,29.0,0,hospital_139,1589,S_085,629
25,5196.0,-37.866555,144.826177,41 David Street,ALTONA,10794000.0,house,2015.0,4.0,2.0,1.0,SC_033,4794,19926,312,30.0,0,hospital_141,5765,S_128,372
26,55853.0,-37.839973,145.05471,603 Burke Road,CAMBERWELL,29600000.0,house,2014.0,4.0,3.0,2.0,SC_099,1764,19851,1450,30.0,0,hospital_168,669,S_113,1255
27,69780.0,-37.867398,145.110148,229 High Street Road,ASHWOOD,7975000.0,house,2012.0,4.0,2.0,2.0,SC_042,1977,19840,712,28.0,0,hospital_089,1791,S_112,1444
28,69038.0,-37.858229,145.034938,3 Fraser Street,MALVERN,6540000.0,house,2011.0,3.0,2.0,3.0,SC_023,2118,19944,1022,19.0,0,hospital_157,535,S_235,572
29,94596.0,-37.908556,145.03371,101 Wheatley Road,MCKINNON,22680000.0,house,2015.0,4.0,2.0,2.0,SC_041,3439,19940,448,37.0,0,hospital_126,1539,S_107,1427
30,92481.0,-37.97667694,145.0654602,99 Flinders,MENTONE,5100000.0,house,2009.0,3.0,1.0,1.0,SC_003,2161,19865,578,39.0,0,hospital_133,529,S_011,605
31,96579.0,-37.99838,145.26186,19 Adam Avenue,HALLAM,5250000.0,house,2010.0,3.0,2.0,2.0,SC_077,1410,19885,2264,59.0,0,hospital_119,4042,S_212,782
32,20224.0,-37.795346,144.972498,73 Kay Street,CARLTON,8580000.0,house,2010.0,2.0,1.0,1.0,SC_008,1852,19843,1749,8.0,0,hospital_188,785,S_200,569
33,73315.0,-37.85560608,145.2902069,23 Girdwood Road,BORONIA,6630000.0,house,2008.0,4.0,2.0,2.0,SC_049,4601,19869,743,53.0,0,hospital_049,1020,S_146,802
34,85344.0,-37.890911,145.005544,19a Riddell Parade,ELSTERNWICK,5880000.0,house,2014.0,2.0,1.0,0.0,SC_015,3298,19953,655,19.0,0,hospital_116,686,S_193,437
35,13303.0,-37.71221542,144.7738495,6 Cassinia Cl,DELAHEY,9300000.0,house,2008.0,3.0,2.0,2.0,SC_107,3398,20000,1234,39.0,0,hospital_057,6456,S_094,1123
36,68473.0,-37.857235,145.027463,30 Willis Street,ARMADALE,8080000.0,house,2010.0,4.0,1.0,1.0,SC_023,2507,19945,720,24.0,0,hospital_092,755,S_235,353
37,64741.0,-37.805104,145.301154,6 St Andrews Close,CROYDON,7910000.0,house,2010.0,3.0,2.0,2.0,SC_022,1725,19878,2104,51.0,0,hospital_164,4018,S_224,874
38,74452.0,-37.897864,145.049271,1/38 Neville Street,CARNEGIE,19890000.0,house,2016.0,3.0,1.0,2.0,SC_041,1676,19941,1036,36.0,0,hospital_126,2643,S_015,1295
39,74539.0,-37.88966751,145.0708923,12 Omama Road,MURRUMBEENA,15640000.0,house,2009.0,3.0,1.0,3.0,SC_087,950,19919,315,30.0,0,hospital_108,2664,S_167,950
40,1420.0,-37.795972,144.907042,78 Beevers Street,FOOTSCRAY,3680000.0,house,2014.0,3.0,1.0,1.0,SC_011,1712,20025,662,14.0,0,hospital_003,1630,S_201,956
41,92979.0,-38.006874,145.085372,21 Montgomery Street,MORDIALLOC,19200000.0,house,2016.0,3.0,2.0,2.0,SC_003,3992,19863,203,45.0,0,hospital_001,2117,S_119,175
42,35497.0,-37.714002,145.001007,7/19 Daventry Street,RESERVOIR,5840000.0,house,2015.0,2.0,1.0,1.0,SC_103,2849,20010,617,32.0,0,hospital_139,474,S_030,2318
